rank,name,domain,country,headquarters,state,employees,ceo,funding,shortDescription,twitter,crunchbase,linkedin
53,Elastic,elastic.co,Netherlands,"Amsterdam, Netherlands",,550,Shay Banon,2,Data integration,http://twitter.com/elasticsearch,https://www.crunchbase.com/organization/elasticsearch,http://linkedin.com/company/814025
34,Eventbrite,eventbrite.com,United States,"San Francisco, California",California,600,,200,Event tech platform,http://twitter.com/Eventbrite,https://www.crunchbase.com/organization/eventbrite,http://linkedin.com/company/167280
80,Evernote,evernote.com,United States,"Redwood City, California",California,330,Chris O\'Neill,290,Collaboration software,http://twitter.com/evernote,https://www.crunchbase.com/organization/evernote,http://linkedin.com/company/62953
76,Fastly,fastly.com,United States,"San Francisco, California",California,327,Artur Bergman,180,Content delivery,http://twitter.com/Fastly,https://www.crunchbase.com/organization/fastly,http://linkedin.com/company/2602522
55,FinancialForce,financialforce.com,United States,"San Francisco, California",California,700,Tod Nielsen,225,ERP software,http://twitter.com/FinancialForce,https://www.crunchbase.com/organization/financialforce-com,http://linkedin.com/company/554127
51,Flatiron Health,flatiron.com,United States,"New York, New York",New York,450,Nat Turner,328,Healthcare software,http://twitter.com/flatironhealth,https://www.crunchbase.com/organization/flatiron-health,http://linkedin.com/company/2682361
31,ForeScout Technologies,forescout.com,United States,"San Jose, California",California,800,Michael DeCesare,158,Cybersecurity,http://twitter.com/ForeScout,https://www.crunchbase.com/organization/forescout,http://linkedin.com/company/28895
95,Freshworks,freshworks.com,United States,"San Bruno, California",California,1040,Girish Mathrubootham,149,Customer support software,http://twitter.com/FreshworksInc,https://www.crunchbase.com/organization/freshdesk#,
39,Fuze,fuze.com,United States,"Boston, Massachusetts",Massachusetts,700,Colin Doherty,334,Enterprise communications,http://twitter.com/thinkingphones,https://www.crunchbase.com/organization/thinking-phones,
52,Gainsight,gainsight.com,United States,"Redwood City, California",California,450,Nick Mehta,156,Customer success,http://twitter.com/GainsightHQ,https://www.crunchbase.com/organization/gainsight,http://linkedin.com/company/841640
28,GitHub,github.com,United States,"San Francisco, California",California,650,Chris Wanstrath,350,Software development,http://twitter.com/github,https://www.crunchbase.com/organization/github,http://linkedin.com/company/1418841
90,Grammarly,grammarly.com,United States,"San Francisco, California",California,110,Brad Hoover,110,Communication assistant,http://twitter.com/Grammarly,https://www.crunchbase.com/organization/grammarly,http://linkedin.com/company/1253671
72,Grand Rounds,grandrounds.com,United States,"San Francisco, California",California,300,Owen Tripp,105,Healthcare software,http://twitter.com/GrandRoundsInc,https://www.crunchbase.com/organization/grand-rounds,http://linkedin.com/company/3159893
85,Greenhouse Software,greenhouse.io,United States,"New York, New York",New York,191,Daniel Chait,60,Recruiting software,http://twitter.com/greenhouse,https://www.crunchbase.com/organization/greenhouse-software,http://linkedin.com/company/2582861
42,Gusto,gusto.com,United States,"San Francisco, California",California,450,Josh Reeves,176,"Payroll, benefits and HR",http://twitter.com/GustoHQ,https://www.crunchbase.com/organization/gusto,http://linkedin.com/company/2499210
64,Health Catalyst,healthcatalyst.com,United States,"Salt Lake City, Utah",Utah,500,Dan Burton,265,Healthcare analytics,http://twitter.com/HealthCatalyst,https://www.crunchbase.com/organization/health-catalyst,http://linkedin.com/company/2204309
61,Hootsuite,hootsuite.com,Canada,"Vancouver, British Columbia, Canada",British Columbia,1000,,250,Social media management,http://twitter.com/HootSuite,https://www.crunchbase.com/organization/hootsuite,http://linkedin.com/company/288540
83,InVision,invisionapp.com,United States,"New York, New York",New York,340,Clark Valberg,134,Digital design,http://twitter.com/invisionapp,https://www.crunchbase.com/organization/invision-2,
92,InsideSales,insidesales.com,United States,"Provo, Utah",Utah,425,David Elkington,266,Sales acceleration,http://twitter.com/InsideSales,https://www.crunchbase.com/organization/insidesales-com,http://linkedin.com/company/82914
49,Intacct,us.intacct.com,United States,"San Jose, California",California,475,Robert Reid,140,ERP and accounting software,http://twitter.com/Intacct,https://www.crunchbase.com/organization/intacct,http://linkedin.com/company/17751
23,Intercom,intercom.io,United States,"San Francisco, California",California,300,Eoghan McCabe,116,Customer messaging platform,http://twitter.com/intercom,https://www.crunchbase.com/organization/intercom,http://linkedin.com/company/2491343
44,Looker,looker.com,United States,"Santa Cruz, California",California,325,Frank Bien,178,Data analytics,http://twitter.com/LookerData,https://www.crunchbase.com/organization/looker,http://linkedin.com/company/2663015
50,Lookout,lookout.com,United States,"San Francisco, California",California,350,Jim Dolce,280,Mobile security,http://twitter.com/Lookout,https://www.crunchbase.com/organization/lookout,http://linkedin.com/company/824768
9,Mailchimp,mailchimp.com,United States,"Atlanta, Georgia",Georgia,600,Ben Chestnut,,Email marketing,http://twitter.com/mailchimp,https://www.crunchbase.com/organization/mailchimp,http://linkedin.com/company/969871
47,MapR Technologies,mapr.com,United States,"San Jose, California",California,500,Matt Mills,194,Big data software,http://twitter.com/mapr,https://www.crunchbase.com/organization/mapr-technologies,http://linkedin.com/company/1478780
7,Medallia,medallia.com,United States,"San Mateo, California",California,1000,Borge Hald,255,Experience management,http://twitter.com/Medallia,https://www.crunchbase.com/organization/medallia,http://linkedin.com/company/49697
98,Mesosphere,mesosphere.com,United States,"San Francisco, California",California,200,Florian Leibert,126,Data center software,http://twitter.com/mesosphere,https://www.crunchbase.com/organization/mesosphere,http://linkedin.com/company/3323375
40,MongoDB,mongodb.com,United States,"New York, New York",New York,800,Dev Ittycheria,311,Database and development platform,http://twitter.com/mongodb,https://www.crunchbase.com/organization/mongodb-inc,http://linkedin.com/company/783611
67,Namely,namely.com,United States,"New York, New York",New York,350,Matt Straz,158,HR software,http://twitter.com/namelyhr,https://www.crunchbase.com/organization/namely,http://linkedin.com/company/2460091
