"","position","rank","name","lastName","uri","imageUri","worth","age","source","industry","gender","country","squareImage","worth_billions"
"584",584,572,"Harry Stine","Stine","harry-stine","harry-stine",3900,76,"agriculture","Food and Beverage","M","United States","//specials-images.forbesimg.com/imageserve/59d7ff5531358e542c036ed6/416x416.jpg?background=000000&cropX1=352&cropX2=1206&cropY1=124&cropY2=978",3.9
"585",585,572,"George Ty","Ty","george-ty","george-ty",3900,85,"banking","Finance and Investments","M","Philippines","//specials-images.forbesimg.com/imageserve/a4d43f17fff8159e27532df9db2b8c45/416x416.jpg?background=000000&cropX1=166&cropX2=744&cropY1=48&cropY2=627",3.9
"586",586,572,"Steven Udvar-Hazy","Udvar-Hazy","steven-udvar-hazy","steven-udvar-hazy",3900,72,"aircraft leasing","Service","M","United States","//specials-images.forbesimg.com/imageserve/59d800764bbe6f37dda021db/416x416.jpg?background=000000&cropX1=489&cropX2=1983&cropY1=247&cropY2=1740",3.9
"587",587,572,"Christoph Zeller","Zeller","christoph-zeller","no-pic",3900,60,"dental implants","Healthcare","M","Liechtenstein",NA,3.9
"588",588,588,"Nathan Blecharczyk","Blecharczyk","nathan-blecharczyk","nathan-blecharczyk",3800,34,"Airbnb","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8dda51a7ea431690140c1f/416x416.jpg?background=000000&cropX1=891&cropX2=3257&cropY1=303&cropY2=2667",3.8
"589",589,588,"Hubert Burda","Burda","hubert-burda","hubert-burda",3800,78,"publishing","Media & Entertainment","M","Germany","//specials-images.forbesimg.com/imageserve/5a7e18774bbe6f2652f5262a/416x416.jpg?background=000000&cropX1=545&cropX2=2767&cropY1=28&cropY2=2251",3.8
"590",590,588,"Chen Dongsheng","Chen","chen-dongsheng","no-pic",3800,60,"insurance","Finance and Investments","M","China","//specials-images.forbesimg.com/imageserve/5a7bc417a7ea43169012f465/416x416.jpg?background=000000&cropX1=903&cropX2=3641&cropY1=0&cropY2=2736",3.8
"591",591,588,"Brian Chesky","Chesky","brian-chesky","brian-chesky",3800,36,"Airbnb","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59d8056a31358e542c036f00/416x416.jpg?background=000000&cropX1=545&cropX2=2830&cropY1=1231&cropY2=3518",3.8
"592",592,588,"Gustaf Douglas","Douglas","gustaf-douglas","gustaf-douglas",3800,80,"investments","Diversified","M","Sweden","//specials-images.forbesimg.com/imageserve/5a811d2e4bbe6f2652f545c3/416x416.jpg?background=000000&cropX1=0&cropX2=1212&cropY1=3&cropY2=1216",3.8
"593",593,588,"Joe Gebbia","Gebbia","joe-gebbia","joe-gebbia",3800,36,"Airbnb","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a21ca88a7ea432f2e74b67c/416x416.jpg?background=000000&cropX1=135&cropX2=3183&cropY1=289&cropY2=3336",3.8
